Source,Target,Type,Id,Label,timeset,Weight
8091161,51415668,Undirected,177,,,1
8091161,57146654,Undirected,178,,,1
8091161,75730636,Undirected,179,,,1
8091161,92102535,Undirected,180,,,1
8091161,112323601,Undirected,181,,,1
8091161,123135073,Undirected,182,,,1
8091161,163604438,Undirected,183,,,1
8091161,238700453,Undirected,184,,,1
8356527,14785048,Undirected,185,,,1
8356527,92102535,Undirected,186,,,1
10755507,20113344,Undirected,189,,,1
10755507,22221511,Undirected,190,,,1
10755507,48038134,Undirected,191,,,1
10755507,57179635,Undirected,192,,,1
10755507,64971391,Undirected,193,,,1
10755507,99535897,Undirected,194,,,1
10755507,157945423,Undirected,195,,,1
10755507,244474708,Undirected,196,,,1
10755507,467822313,Undirected,197,,,1
11032809,13678754,Undirected,200,,,1
11032809,14785048,Undirected,201,,,1
11032809,19745720,Undirected,202,,,1
11032809,21718456,Undirected,203,,,1
11032809,21759323,Undirected,204,,,1
11032809,22643458,Undirected,205,,,1
11032809,24457357,Undirected,206,,,1
11032809,27280042,Undirected,207,,,1
11032809,27835117,Undirected,208,,,1
11032809,29037626,Undirected,209,,,1
11032809,29560623,Undirected,210,,,1
11032809,30554816,Undirected,211,,,1
11032809,51415668,Undirected,212,,,1
11032809,51474395,Undirected,213,,,1
11032809,57146654,Undirected,214,,,1
11032809,75730636,Undirected,215,,,1
11032809,92102535,Undirected,216,,,1
11032809,112323601,Undirected,217,,,1
11032809,123135073,Undirected,218,,,1
11032809,169281899,Undirected,219,,,1
11032809,238700453,Undirected,220,,,1
11287803,16914661,Undirected,221,,,1
11287803,26982849,Undirected,222,,,1
11287803,105656625,Undirected,223,,,1
11287803,112840687,Undirected,224,,,1
11287803,157117061,Undirected,225,,,1
12890570,81809586,Undirected,226,,,1
13409053,18871167,Undirected,230,,,1
13409053,22425585,Undirected,231,,,1
13409053,22468715,Undirected,232,,,1
13409053,22794354,Undirected,233,,,1
13409053,30573135,Undirected,234,,,1
13409053,36726292,Undirected,235,,,1
13409053,50030086,Undirected,236,,,1
13409053,97673870,Undirected,237,,,1
13409053,137694077,Undirected,238,,,1
13409053,138385912,Undirected,239,,,1
13409053,141201828,Undirected,240,,,1
13678754,14785048,Undirected,244,,,1
13678754,19745720,Undirected,245,,,1
13678754,21718456,Undirected,246,,,1
13678754,21759323,Undirected,247,,,1
13678754,22643458,Undirected,248,,,1
13678754,24457357,Undirected,249,,,1
13678754,27280042,Undirected,250,,,1
13678754,27835117,Undirected,251,,,1
13678754,30554816,Undirected,252,,,1
13678754,51109331,Undirected,253,,,1
13678754,51151239,Undirected,254,,,1
13678754,51474395,Undirected,255,,,1
13678754,55859088,Undirected,256,,,1
13678754,57146654,Undirected,257,,,1
13678754,57179635,Undirected,258,,,1
13678754,75730636,Undirected,259,,,1
13678754,92102535,Undirected,260,,,1
13678754,117257470,Undirected,261,,,1
13678754,123135073,Undirected,262,,,1
13678754,139023671,Undirected,263,,,1
13678754,169281899,Undirected,264,,,1
13678754,238700453,Undirected,265,,,1
